id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,year_value,present,school,has_sib,exposure_smoke,exposure_drink,exposure_mj
77,2,0,0,5,0,0,0,0,0,0,2011,1,111,1,0.333333333333333,0.333333333333333,0.333333333333333
77,4,0,0,4.5,0,0,0,0,0,0,2013,1,111,1,0,0,0
78,1,1,1,2.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
78,2,1,1,3,0,0,0,0,0,1,2011,1,111,1,0,0,0
78,4,1,1,2.75,0,0,0,0,0,1,2013,1,111,1,0,0,0
79,1,1,0,3.5,0,0,1,0,0,0,2010,1,111,1,-1,-1,-1
79,2,1,0,3,0,0,1,0,0,1,2011,1,111,0,0,0,0
79,3,1,0,2.5,0,0,1,1,0,1,2012,1,111,1,0.714285714285714,0.714285714285714,0.714285714285714
80,1,1,0,4.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
80,2,1,0,4.5,0,0,0,0,0,0,2011,1,111,1,0,0.333333333333333,0
80,3,1,0,4.5,0,1,0,0,0,0,2012,1,111,1,0,0.333333333333333,0
80,4,1,0,4.5,0,1,1,0,0,0,2013,1,111,1,0,0.5,0
81,1,1,0,3.5,0,0,0,1,0,1,2010,1,111,1,-1,-1,-1
81,2,1,0,3.5,0,0,0,1,0,1,2011,1,111,1,0,0.5,0
81,4,1,0,2.5,0,1,0,1,1,0,2013,1,111,1,0,0,0
82,1,1,0,5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
82,2,1,0,4.5,0,0,0,0,0,1,2011,1,111,1,0,0,0
82,3,1,0,4,0,0,0,1,0,1,2012,1,111,1,0.5,0.5,0.5
82,4,1,0,4.5,0,0,0,0,0,1,2013,1,111,1,0.5,0.5,0.5
83,1,1,0,3.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
83,2,1,0,3.25,0,0,0,0,0,1,2011,1,111,0,0,0,0
83,4,1,0,3,0,0,0,0,0,1,2013,1,111,1,0,0,0
84,1,1,0,4.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
84,2,1,0,4.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
84,4,1,0,4,1,1,1,0,0,0,2013,1,111,1,0,0,0
85,1,0,0,4,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
85,2,0,0,4.5,0,0,0,0,0,0,2011,1,111,1,0.333333333333333,0.333333333333333,0.333333333333333
85,3,0,0,4.5,0,0,0,0,0,0,2012,1,111,1,0.333333333333333,0.333333333333333,0.333333333333333
85,4,0,0,4,0,0,0,0,0,0,2013,1,111,1,0,0,0
87,1,1,1,1.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
87,2,1,1,3.5,0,0,0,0,0,1,2011,1,111,1,0,0,0.111111111111111
87,3,1,1,2.5,0,0,0,0,0,1,2012,1,111,1,0.4,0.4,0.4
87,4,1,1,3.5,0,0,0,0,0,1,2013,1,111,1,0.444444444444444,0.777777777777778,0.555555555555556
88,1,0,1,5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
88,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
88,4,0,1,5,0,1,0,0,0,0,2013,1,111,1,0,0,0
89,1,1,1,3.5,0,1,0,0,0,0,2010,1,111,1,-1,-1,-1
89,2,1,1,3,0,1,0,0,0,0,2011,1,111,1,0,0,0
89,3,1,1,3.5,0,1,0,0,0,0,2012,1,111,1,0,0,0
89,4,1,1,3.5,0,1,0,0,1,1,2013,1,111,1,0,0.5,0
90,3,1,1,3.5,0,1,1,0,0,1,2012,1,111,1,0,0,0
90,4,1,1,4.5,0,1,1,0,0,1,2013,1,111,1,0,0.5,0
91,1,1,1,3.5,0,1,0,0,0,1,2010,1,111,0,-1,-1,-1
91,2,1,1,3.5,0,1,0,0,0,0,2011,1,111,0,0,0.25,0
92,2,1,0,3.16666666666667,1,0,1,1,0,0,2011,1,111,1,0.5,0,0
92,4,1,0,3,1,1,1,1,0,0,2013,1,111,1,1,0,1
94,3,0,0,3,0,0,0,0,0,1,2012,1,111,1,0,0,0
94,4,0,0,4.5,0,0,0,0,1,1,2013,1,111,1,0,0,0
95,1,0,0,4,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
95,2,0,0,4.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
95,3,0,0,4.5,0,0,0,0,0,0,2012,1,111,0,0.25,0.5,0.5
95,4,0,0,4.5,0,0,0,0,0,0,2013,1,111,1,0,0.8,0.4
96,3,0,0,5,1,1,0,1,0,0,2012,1,111,1,0,0,0
96,4,0,0,5,1,1,0,1,0,0,2013,1,111,1,0.2,0.6,0.4
97,3,0,0,4,0,0,0,0,0,1,2012,1,111,1,0,0,0
97,4,0,0,4.5,0,0,0,0,0,1,2013,1,111,1,0,1,0
98,1,0,1,3.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
98,2,0,1,3.5,0,0,0,0,0,1,2011,1,111,1,0,0.25,0
98,3,0,1,3,0,1,0,0,0,0,2012,1,111,1,0,0.2,0
98,4,0,1,4,0,1,0,0,0,1,2013,1,111,1,0,0,0
99,1,1,1,5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
99,2,1,1,5,0,0,0,0,0,1,2011,1,111,1,0,0.6,0
